UnitID,Institution Name,Total price for in-district students living on campus  2024-25 (DRVCOST2024),Total price for in-state students living on campus 2024-25 (DRVCOST2024),Total price for in-district students living off campus (not with family)  2024-25 (DRVCOST2024),Total price for in-state students living off campus (not with family)  2024-25 (DRVCOST2024),Total price for in-district students living off campus (with family)  2024-25 (DRVCOST2024),Total price for in-state students living off campus (with family)  2024-25 (DRVCOST2024),State abbreviation (HD2024),
210508,Academy of Vocal Arts,,,,,,,PA,
210571,Albright College,47508,47508,47583,47583,33156,33156,PA,
210599,All-State Career School,,,,,,,PA,
418658,All-State Career School-Pittsburgh,,,,,,,PA,
210669,Allegheny College,74150,74150,71346,71346,65672,65672,PA,
210748,Altoona Beauty School Inc,,,,,,,PA,
210775,Alvernia University,63860,63860,61060,61060,52820,52820,PA,
490258,American Barber and Beauty Academy,,,,,,,PA,
210809,American College of Financial Services,,,,,,,PA,
211088,Arcadia University,69390,69390,78600,78600,55460,55460,PA,
214023,ASPIRA City College,,,29586,29586,18252,18252,PA,
211006,Automotive Training Center-Exton,,,,,,,PA,
448770,Automotive Training Center-Warminster,,,,,,,PA,
250285,Aviation Institute of Maintenance-Philadelphia,,,42440,42440,37802,37802,PA,
483346,Barber and Beauty Academy of Pennsylvania,,,,,,,PA,
483054,Barber School of Pittsburgh,,,,,,,PA,
215336,Beaver Falls Beauty Academy,,,,,,,PA,
461193,Bella Capelli Academy,,,,,,,PA,
481021,Berks Career & Technology Center,,,,,,,PA,
210492,Bryn Athyn College of the New Church,46894,46894,39988,39988,34988,34988,PA,
211273,Bryn Mawr College,87320,87320,,,,,PA,
211291,Bucknell University,87696,87696,87696,87696,87696,87696,PA,
211307,Bucks County Community College,,,19483,23803,14683,19003,PA,
211316,Bucks County School of Beauty Culture Inc,,,,,,,PA,
211334,Butler Beauty Academy,,,,,,,PA,
213330,Butler Beauty Academy-Kittanning Beauty Academy,,,,,,,PA,
367431,Butler Beauty Academy-New Castle Beauty Academy,,,,,,,PA,
211343,Butler County Community College,,,15010,18100,12010,15100,PA,
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,,,,,,,PA,
211352,Cabrini University,,,,,,,PA,
215114,Cairn University-Langhorne,50662,50662,49209,49209,46309,46309,PA,
246071,Career Technology Center of Lackawanna County,,,,,,,PA,
211431,Carlow University,54064,54064,54064,54064,42756,42756,PA,
211440,Carnegie Mellon University,86812,86812,85682,85682,73000,73000,PA,
451495,CDE Career Institute,,,,,,,PA,
211468,Cedar Crest College,65095,65095,64720,64720,55314,55314,PA,
211477,Central Penn College,31435,31435,28804,28804,25154,25154,PA,
493558,Central Pennsylvania Diesel Institute,,,,,,,PA,
369668,Central Pennsylvania Institute of Science and Technology,,,,,,,PA,
406422,Central Susquehanna Intermediate Unit LPN Career,,,,,,,PA,
483753,Champ's Barber School,,,,,,,PA,
499033,Champ's Barber School-Lebanon,,,,,,,PA,
211556,Chatham University,61226,61226,60926,60926,54626,54626,PA,
