"Sector","College","Type","County","zip code","Address","Latitude","Longitude","Georeferenced Latitude & Longitude","Sector and Type"
"Private College/University","Wilson College","Main Campus Location","Franklin","17201","1015 Philadelphia Ave, Chambersburg, PA 17201","39.9470004","-77.6537371","POINT (-77.6537371 39.9470004)","Private College/University - Main Campus"
"Private College/University","Wilkes University","Main Campus Location","Luzerne","18766","84 W South St, Wilkes-Barre, PA 18766","41.2443653","-75.8899735","POINT (-75.8899735 41.2443653)","Private College/University - Main Campus"
"Private College/University","York College of Pennsylvania","Main Campus Location","York","17403","441 Country Club Rd, York, PA 17403","39.9474471","-76.7267984","POINT (-76.7267984 39.9474471)","Private College/University - Main Campus"
"Private College/University","Won Institute of Graduate Studies","Main Campus Location","Montgomery","18974","800 Jacksonville Rd, Warminster, PA 18974","40.202613","-75.076139","POINT (-75.076139 40.202613)","Private College/University - Main Campus"
"Private College/University","Ursinus College","Main Campus Location","Montgomery","19426","601 E Main St, Collegeville, PA 19426","40.1917705","-75.4568484","POINT (-75.4568484 40.1917705)","Private College/University - Main Campus"
"Private College/University","Westminster College","Main Campus Location","Lawrence","16172","319 S Market St, New Wilmington, PA 16172","41.1182434","-80.3286896","POINT (-80.3286896 41.1182434)","Private College/University - Main Campus"
"Private College/University","Widener University/Harrisburg","Branch Campus","Dauphin","17110","3800 Vartan Way, Harrisburg, PA 17110","40.32432942","-76.8547252","POINT (-76.8547252 40.32432942)","Private College/University - Branch Campus"
"Community College","Lehigh CC-Donley Center","Off-Campus Operation","Lehigh","18101","718 West Hamilton Street, Allentown, PA 18101","40.6017843","-75.4722813","POINT (-75.4722813 40.6017843)","Community College - Off-Campus"
"Private College/University","Gwynedd Mercy University","Main Campus Location","Montgomery","19437","1325 Sumneytown Pike, Gwynedd Valley, PA 19437","40.1986857","-75.2354905","POINT (-75.2354905 40.1986857)","Private College/University - Main Campus"
"Rural Regional College","NPRC-Kane","Off-Campus Operation","McKean","16735",,,,,"Rural Regional College - Off-Campus"
"Community College","Lehigh CC-Morgan Center","Off-Campus Operation","Schuylkill","18252","234 High Street, Tamaqua, PA 18252","40.7949651","-75.9745066","POINT (-75.9745066 40.7949651)","Community College - Off-Campus"
