"Institution Name","Administrative Unit Number","School Branch","Category","Status","Phone Number","Phone_Number_Extn","Web_Address","County","City","Primary Administrator","School Year"
"AAA School of Trucking, Inc","426510819","0000","Private Licensed School","Open","2673245957",,"http://www.aaaschooloftrucking.com","Philadelphia","Philadelphia","Mr Ryan A Soloby","SY2021"
"AAA School of Trucking, Inc.","415228149","0000","Private Licensed School","Open","7176523652",,"http://www.aaaschooloftrucking.com/","Dauphin","Harrisburg","Ms Susan     First","SY2021"
"Academy for Media Production (The)","412015229","0000","Private Licensed School","Open","7173344487",,"https://amp-school.com/","Adams","McSherrystown","Mr Paul T Chiacchierini","SY2021"
"Academy of Investigation and Protection","427041279","0000","Private Licensed School","Open","7247757970",,,"Beaver","Monaca","Mr Louis W Gentile","SY2021"
"Academy of Massage Therapy & Bodyworks","423461299","0000","Private Licensed School","Open","6104685497",,"http://www.massage-training.net/","Montgomery","Pottstown","Ms Angela  Pio Wagner","SY2021"
"Academy Pittsburgh","402021239","0000","Private Licensed School","Open","4128742500",,"http://www.academypgh.com","Allegheny","Pittsburgh","Mr John  Lange","SY2021"
"Ace Training School","423463109","0000","Private Licensed School","Open","2156352089",,"http://www.hrsat.org/","Montgomery","Willow Grove","Dr Han  Ryoo","SY2021"
"Albert School (The)","423468279","0000","Private Licensed School","Open","2156350945",,"http://www.albertschool.org","Montgomery","Elkins Park","Ms Debbie  Amerman","SY2021"
"Albright College","414060204","0000","Private College and University","Open","6109212381",,"https://www.albright.edu","Berks","Reading","Dr Jacquelyn S Fetrow","SY2021"
"All-State Career School","402027899","0000","Private Licensed School","Open","4128231818",,"https://www.allstatecareer.edu","Allegheny","West Mifflin","Ms Heather   Powell","SY2021"
"All-State Career School","414060459","0000","Private Licensed School","Open","6103621124",,"https://www.allstatecareer.edu","Delaware","Essington","Mr Edward   Rito","SY2021"
"All-State Career School","414060459","0000","Specialized Associate Degree","Open","6103621124",,"https://www.allstatecareer.edu","Delaware","Essington","Mr Edward   Rito","SY2021"
"Allegany Coll of Maryland","400000100","0000","Other College and University","Open","3017845000",,"https://www.allegany.edu/","Out-of-State","Cumberland","Dr Cynthia S Bambara","SY2021"
"Allegheny College","405200304","0000","Private College and University","Open","8143323100",,"https://allegheny.edu/","Crawford","Meadville","Dr Hilary L Link","SY2021"
"Alvernia University","414060384","0000","Private College and University","Open","6107968200",,"https://www.alvernia.edu","Berks","Reading","Mr John R Loyack","SY2021"
